ticker,date,weight
AMD,2025-05-19,0.07692307692307693
AMD,2024-08-19,0.07692307692307693
AVGO,2024-07-12,0.07692307692307693
AVGO,2024-10-02,0.07692307692307693
BA,2024-07-01,0.07692307692307693
BKNG,2025-05-09,0.07692307692307693
COIN,2025-05-08,0.07692307692307693
KDP,2025-03-31,0.07692307692307693
LULU,2025-10-21,0.07692307692307693
MRVL,2025-06-30,0.07692307692307693
NXPI,2025-04-28,0.07692307692307693
NXPI,2025-08-18,0.07692307692307693
PYPL,2024-05-21,0.07692307692307693
BA,2025-04-24,-0.08333333333333333
BKNG,2024-11-21,-0.08333333333333333
COIN,2024-03-18,-0.08333333333333333
GILD,2024-11-20,-0.08333333333333333
KDP,2025-10-30,-0.08333333333333333
KDP,2025-02-28,-0.08333333333333333
MDLZ,2024-02-20,-0.08333333333333333
MDLZ,2024-02-21,-0.08333333333333333
META,2024-09-10,-0.08333333333333333
MNST,2024-05-23,-0.08333333333333333
MRNA,2024-05-09,-0.08333333333333333
QCOM,2024-08-09,-0.08333333333333333
